Danilo Wyss

Leonardo Basso
Egan Bernal
Jonathan Castroviejo
David De La Cruz
Owain Doull
Edward Dunbar
Kenny Elissonde
Chris Froome
Filippo Ganna
Tao Geoghegan Hart
Michal Golas
Kristoffer Halvorsen
Sebastian Henao
Vasil Kiryienka
Christian Knees
Michal Kwiatkowski
Christopher Lawless
Gianni Moscon
Jhonnatan Narvaez
Wout Poels
Salvatore Puccio
Diego Rosa
Luke Rowe
Pavel Sivakov
Ivan Sosa
Ian Stannard
Ben Swift
Geraint Thomas
Dylan Van Baarle

George Bennett
Koen Bouwman
Laurens De Plus
Floris De Tier
Pascal Eenkhoorn
Robert Gesink
Dylan Groenewegen
Lennard Hofstede
Amund Grøndahl Jansen
Steven Kruijswijk
Stef Krul
Sepp Kuss
Tom Leezer
Bert-Jan Lindeman
Paul Martens
Tony Martin
Neilson Powless
Primoz Roglic
Timo Roosen
Mike Teunissen
Antwan Tolhoek
Wout Van Aert
Taco van der Hoorn
Jos Van Emden
Danny van Poppel
Jonas Vingegaard
Maarten Wynants

Enrico Battaglin
Jenthe Biermans
Ian Boswell
Dylan Bouwmans
Steff Cras
Jens Debusschere
Alex Dowsett
Matteo Fabbro
Jose Goncalves
Ruben Guerreiro
Nathan Haas
Marco Haller
Reto Hollenstein
Juri Hollmann
Marcel Kittel
Pavel Kochetkov
Vyacheslav Kuznetsov
Daniel Navarro
Nils Politt
Willie Smit
Simon Spilak
Dmitriy Strakhov
Harry Tanfield
Mads Würtz Schmidt
Rick Zabel
Ilnur Zakarin

Asbjørn Kragh Andersen
Søren Kragh Andersen
Nikias Arndt
Jan Bakelants
Cees Bol
Roy Curvers
Tom Dumoulin
Nils Eekhoff
Johannes Fröhlinger
Chad Haga
Chris Hamilton
Jai Hindley
Marc Hirschi
Max Kanter
Wilco Kelderman
Marten Kooistra
Lennard Kämna
Michael Matthews
Joris Nieuwenhuis
Sam Oomen
Casper Pedersen
Robert Power
Nicolas Roche
Martin Salmon
Michael Storer
Florian Stork
Martijn Tusveld
Louis Vervaeke
Max Walscheid

Fumiyuki Beppu
Julien Bernard
Gianluca Brambilla
Giulio Ciccone
William Clarke
Nicola Conci
Koen De Kort
Nicolas Debeaumarché
John Degenkolb
Niklas Eg
Fabio Felline
Alex Frame
Michael Gogl
Markel Irizar
Alex Kirsch
Juan Pedro Lopez
Bauke Mollema
Jacopo Mosca
Matteo Moschetti
Ryan Mullen
Jarlinson Pantano
Mads Pedersen
Richie Porte
Charlie Quarterman
Kiel Reijnen
Toms Skujins
Peter Stetina
Jasper Stuyven
Edward Theuns

Fabio Aru
Matt Beers
Tom Bohli
Sven Erik Bystrøm
Simone Consonni
Valerio Conti
Rui Costa
Nicolas Dalla Valle
Kristijan Durasek
Roberto Ferrari
Fernando Gaviria
Sergio Henao
Alexander Kristoff
Vegard Stake Laengen
Marco Marcato
Daniel Martin
Yousef Mirza
Sebastian Molano
Manuele Mori
Cristian Munoz
Ivo Oliveira
Rui Oliveira
Simone Petilli
Jasper Philipsen
Tadej Pogacar
Jan Polanc
Edward Ravasi
Alexandr Riabushenko
Rory Sutherland
Oliviero Troia
Diego Ulissi

Romain Bardet
François Bidard
Geoffrey Bouchard
Clément Champoussin
Mikaël Chérel
Clément Chevrier
Benoît Cosnefroy
Silvan Dillier
Axel Domont
Julien Duval
Mathias Frank
Tony Gallopin
Ben Gastauer
Alexandre Geniez
Dorian Godon
Alexis Gougeard
Jaakko Hänninen
Quentin Jauregui
Anthony Jullien
Pierre Latour
Lawrence Naesen
Oliver Naesen
Aurélien Paret-Peintre
Nans Peters
Antoine Raugel
Harry Tanfield
Stijn Vandenbergh
Andrea Vendrame
Clément Venturini
Simon Verger
Alexis Vuillermoz
Lawrence Warbasse

Alex Aranburu
Zhandos Bizhigitov
Manuele Boaro
Hernando Bohorquez
Rodrigo Contreras
Laurens De Vreese
Fabio Felline
Daniil Fominykh
Omar Fraile
Jakob Fuglsang
Yevgeniy Gidich
Jonas Gregaard
Dmitriy Gruzdev
Hugo Houle
Gorka Izagirre
Ion Izagirre
Merhawi Kudus
Miguel Ángel López
Alexey Lutsenko
Davide Martinelli
Yuriy Natarov
Vadim Pronskiy
Óscar Rodríguez
Luis León Sánchez
Nikita Stalnov
Harold Tejada
Aleksandr Vlasov
Artyom Zakharov

Yukiya Arashiro
Enrico Battaglin
Phil Bauhaus
Pello Bilbao
Grega Bole
Santiago Buitrago
Eros Capecchi
Damiano Caruso
Mark Cavendish
Sonny Colbrelli
Scott Davies
Chun Kai Feng
Ivan Garcia
Marco Haller
Heinrich Haussler
Kevin Inkelaar
Mikel Landa
Matej Mohoric
Domen Novak
Mark Padun
Hermann Pernsteiner
Luka Pibernik
Wout Poels
Marcel Sieberg
Dylan Teuns
Jan Tratnik
Rafael Valls
Stephen Williams
Fred Wright

Pascal Ackermann
Erik Baska
Cesare Benedetti
Maciej Bodnar
Emanuel Buchmann
Marcus Burghardt
Jempy Drucker
Matteo Fabbro
Patrick Gamper
Oscar Gatto
Felix Großschartner
Patrick Konrad
Lennard Kämna
Martin Laas
Rafal Majka
Jay McCarthy
Gregor Muhlberger
Daniel Oss
Pawel Poljanski
Lukas Pöstlberger
Juraj Sagan
Peter Sagan
Maximilian Schachmann
Ide Schelling
Andreas Schillinger
Michael Schwarzmann
Rüdiger Selig

Josef &#268;erný
William Barta
Patrick Bevin
Victor De La Parte
Alessandro De Marchi
Simon Geschke
Kamil Gradek
Jan Hirt
Jonas Koch
Pavel Kochetkov
Kamil Malecki
Jakub Mareczko
Fausto Masnada
Michal Paluta
Serge Pauwels
Joey Rosskopf
Szymon Sajnok
Michael Schär
Matteo Trentin
Attila Valter
Greg Van Avermaet
Gijs Van Hoecke
Nathan Van Hooydonck
Guillaume Van Keirsbulck
Francisco Ventoso
Lukasz Wisniowski
Ilnur Zakarin
Georg Zimmerman

Piet Allegaert
Fernando Barceló
Natnael Berhane
Dimitri Claeys
Simone Consonni
Nicolas Edet
Eddy Finé
Nathan Haas
Jesper Hansen
Jesus Herrada
Jose Herrada
Victor Lafay
Christophe Laporte
Mathias Le Turnier
Cyril Lemoine
Guillaume Martin
Luis Angel Mate
Marco Mathis
Emmanuel Morin
Anthony Perez
Pierre-Luc Périchon
Nicolas Prodhomme
Stéphane Rossetto
Fabio Sabatini
Damien Touzé
Kenneth Vanbilsen
Julien Vermote
Attilio Viviani
Elia Viviani
Enrico Zanoncello

Julian Alaphilippe
Joao Almeida
Shane Archbold
Kasper Asgreen
Andrea Bagioli
Davide Ballerini
Sam Bennett
Mattia Cattaneo
Remi Cavagna
Tim Declercq
Dries Devenyns
Remco Evenepoel
Ian Garrison
Alvaro Hodeg
Mikkel Honore
Fabio Jakobsen
